Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;PHOS-HE51;PHOS-HE51_ge	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Nubsella	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	6	1	3	9
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriales_unclassified;Sphingobacteriales_unclassified	0	10	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;uncultured;uncultured_ge	1	0	0	1
Bacteria;Bacteroidetes;WCHB1-32;WCHB1-32_or;WCHB1-32_fa;WCHB1-32_ge	153	53	37	47
Bacteria;BRC1;BRC1_cl;BRC1_or;BRC1_fa;BRC1_ge	863	541	339	339
Bacteria;Candidatus_Berkelbacteria;Candidatus_Berkelbacteria_cl;Candidatus_Berkelbacteria_or;Candidatus_Berkelbacteria_fa;Candidatus_Berkelbacteria_ge	8	2	0	4
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales_Incertae_Sedis;Chlamydiales_Incertae_Sedis_unclassified	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales_unclassified;Chlamydiales_unclassified	1	0	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkaniaceae_unclassified	0	1	0	0
Bacteria;Chlamydiae;LD1-PA32;LD1-PA32_or;LD1-PA32_fa;LD1-PA32_ge	1	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;OPB56_ge	314	299	79	211
Bacteria;Chlorobi;Chlorobia;Chlorobiales;SJA-28;SJA-28_ge	0	0	0	0
Bacteria;Chloroflexi;1-20;1-20_or;1-20_fa;1-20_ge	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	1158	751	313	373
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae_UCG-001	6	24	1	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae_unclassified	199	131	81	95
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea	28	34	4	47
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Ornatilinea	5	14	7	16
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured	2184	1386	832	1372
Bacteria;Chloroflexi;Ardenticatenia;uncultured;uncultured_fa;uncultured_ge	0	10	1	0
Bacteria;Chloroflexi;C10-SB1A;C10-SB1A_or;C10-SB1A_fa;C10-SB1A_ge	0	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilineaceae_unclassified	0	0	1	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Litorilinea	1	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;uncultured	5	20	21	6
Bacteria;Chloroflexi;Chloroflexi_cl;Chloroflexi_or;Chloroflexi_fa;Chloroflexi_ge	0	0	0	5
Bacteria;Chloroflexi;Chloroflexi_unclassified;Chloroflexi_unclassified;Chloroflexi_unclassified;Chloroflexi_unclassified	232	323	90	171
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	26	10	5	5
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon	0	0	0	4
